ID,Type,Name,Cost,Traits,Strength,Health,Restore,Effect,Notes,Color,,,,,,,,
303,Creature,"Ván, Magician",4A,Human | Thief,1,4,2,"Action: 1A. Reveal the top three cards of your deck. For each card of A color, shuffle a card from your enemy's discard into their deck. ",,Red,,,,,,,,
304,Creature,"Binvi, The Embraced",5S,Kyr | [Trait],3,5,3,"Binvi recieves half damage (rounding down) from [Trait] creatures.
Deploy: Ready a friendly [Trait] creature.","([Trait] can be Construct, Beast, Horror, Titan, or Summoner)",Red,,,,,,,,
305,Creature,"Olian, The Wretched",8S,Kyr,6,3,0,"Sturdy.
Dauntless.
Olian, The Wretched does not take damage from [Trait] creatures.","([Trait] can be Human, Apparition, Pillager, Plant, Scrap, or Leader)",Red,,,,,,,,
306,Creature,The Arbiter,2S,Kyr,2,2,1,"Trap: If the trapped creature is a Kyr, destroy it.",,Red,,,,,,,,
307,Instant,Beat Down,3A,-,-,-,-,"Play: Deal 2 damage to a creature. If that creature already has damage on it, destroy it instead.",,Red,,,,,,,,
308,Instant,Predict Future,3A,-,-,-,-,Play: Draw 3 cards. Discard 1,,Red,,,,,,,,
309,Instant,Hard Read,1A,-,-,-,-,"Play: Your opponent reveals the top card of their library. If that card matches a card in play, draw 2 cards.",,Red,,,,,,,,
310,Instant,Enlightened Counsel,3A,-,-,-,-,Play: Reveal from the top of your library until you find an artifact. Place that artifact in your hand and shuffle your library.,,Red,,,,,,,,
311,Instant,Tribute,2A,-,-,-,-,"Play: Stockpile this card under a creature. That creature gains ""Destroyed: Your opponent gains 4A mana.""",,Red,,,,,,,,
312,Instant,Overwhelming Force,5A,-,-,-,-,"Play: Exhaust two friendly creatures. If you do, destroy a creature.",,Red,,,,,,,,
313,Instant,Weighted Bolas,2A,-,-,-,-,Play: Idle up to three enemy creatures.,,Red,,,,,,,,
314,Instant,Divisive Manouver,2A,-,-,-,-,Play: Deploy or redeploy an enemy creature to a zone of your choosing. Exhaust that creature.,,Red,,,,,,,,
315,Instant,Dying Breath,3A,-,-,-,-,"Play: Stockpile this card under an allied creature. The creature this card is stockpiled under gains ""Destroyed: place a creature in this zone on the bottom of its owners deck""",,Red,,,,,,,,
316,Instant,Quick Thinking,3A,-,-,-,-,"Play: Stockpile this card under a creature.The creature this is stockpiled under gains ""Deploy: If this is the first time this creature has been deployed this turn, ready this creature.""",,Red,,,,,,,,
317,Instant,Violence of the Learned,3A,-,-,-,-,"Play: Sacrifice a friendly artifact. If you do, search your library for any card you choose. Place that card in your hand and shuffle your library.",,Red,,,,,,,,
318,Instant,Stacked Deck,2A,-,-,-,-,Play: Reveal the top five cards of your deck. You may place any number of these cards on the bottom of your deck.,,Red,,,,,,,,
319,Instant,Grain of Knowledge,"4A
",-,-,-,-,Play: All the cards in your discard are considered A mana until End of Phase.,,Red,,,,,,,,
